freq_low_mhz,freq_high_mhz,country_code,region,service,status,application,typical_devices,modulation,power_limit,channel_spacing_khz,regulatory_ref,notes,verified,verification_status
280.0,290.0,US,ITU Region 2 / USA,MILITARY FIXED / MOBILE,Allocated,"NATO UHF MILSATCOM downlink (FLTSATCOM, UFO legacy); military LOS tactical communications; MUOS (Mobile User Objective System) UHF MILSATCOM downlinks","Harris AN/PRC-117G, L3Harris Falcon III AN/PRC-152A, Raytheon MUOS terminals","DAMA TDMA (FLTSATCOM), CDMA (AEHF), ECCM FM/SINCGARS",N/A (military — no civilian power limit applies),25,"NTIA Manual of Regulations & Procedures, 47 CFR 2.106 (Federal Government exclusive), US Government Table footnote G27","Federal Government exclusive band. No civilian access. Part of NATO UHF SATCOM allocation (225-400 MHz). FLTSATCOM fleet broadcast channels operate near 280-290 MHz. [FACTCHECK: AEHF operates at EHF (44 GHz UL / 20 GHz DL), not UHF. MUOS is the correct current UHF MILSATCOM system.]",True,
280.0,290.0,FR,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,"French military UHF communications (Armée de l'Air, Marine Nationale); NATO SATCOM downlinks; Syracuse III military satellite system downlinks","Thales PR4G (VHF/UHF tactical radio), Thales SYNAPS vehicular radio system, Syracuse III satellite terminals","ECCM wideband FM, HAVE QUICK frequency hopping",N/A (military),25,"ANFR TNRBF (Tableau National de Répartition des Bandes de Fréquences), ITU RR Article 5 footnote 5.254",Military exclusive. Part of the 225-400 MHz NATO UHF band. France also uses Syracuse III military SATCOM system in this range.,True,
280.0,290.0,UK,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,UK MoD UHF tactical communications; NATO SATCOM downlinks; Skynet 5 military satellite system,"Bowman radio system (General Dynamics), Harris RF-7800 series, Skynet 5 satellite terminals (Airbus Defence)","ECCM FM, HAVE QUICK II frequency hopping, SATCOM DAMA",N/A (military),25,"Ofcom UK Plan for Frequency Authorisation (UKPFA), UK Wireless Telegraphy Act 2006 (Crown use exemption)",MoD exclusive. Skynet 5 is operated by Airbus Defence & Space under PFI contract for UK military SATCOM.,True,
280.0,290.0,DE,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Bundeswehr UHF tactical communications; NATO SATCOM downlinks; SATCOMBw (German military satellite communications),"Rohde & Schwarz MR3000 series UHF radios, Elbit Systems vehicular radios, SATCOMBw terminals","ECCM FM, HAVE QUICK frequency hopping",N/A (military),25,"BNetzA Frequenzplan (Frequenzbereichszuweisungsplanverordnung — FreqBZPV), NATO STANAG 4206",Military exclusive. Germany uses SATCOMBw Step 2 (hosted payloads on commercial satellites) for UHF MILSATCOM.,True,
280.0,290.0,CN,ITU Region 3,FIXED / MOBILE (Military),Allocated,PLA (People's Liberation Army) UHF tactical communications and military satellite downlinks,"Various PLA-standard UHF tactical radios (Chinese domestic manufacture, no public model numbers)","FM, digital military proprietary waveforms",N/A (military),25,"MIIT Radio Regulations of the People's Republic of China, ITU RR Region 3 Table",Military exclusive allocation. China operates its own military satellite system (Feng Huo series) with UHF payloads in this range.,False,
280.0,290.0,RU,ITU Region 1,FIXED / MOBILE (Military),Allocated,Russian military UHF communications; Meridian and Molniya series military satellite downlinks,"Various Russian military tactical radios (R-168 family), Meridian satellite terminals","FM, ECCM frequency hopping (Russian proprietary waveforms)",N/A (military),25,GRFC (General Radio Frequency Centre) Table of Frequency Allocations of the Russian Federation,"Military exclusive. Russia operates its own UHF MILSATCOM constellation (Meridian, Molniya). Not NATO-interoperable. [FACTCHECK: Molniya satellites are largely decommissioned. Meridian series is current replacement for Russian high-latitude MILSATCOM.]",False,
280.0,290.0,ES,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Spanish military (Fuerzas Armadas) UHF communications; NATO SATCOM downlinks; SECOMSAT programme,"Thales PR4G (Spanish Army designation), Harris AN/PRC-152 (NATO interop), SECOMSAT terminals","ECCM FM, HAVE QUICK",N/A (military),25,"CNAF (Cuadro Nacional de Atribución de Frecuencias), SETSI/Min. Defensa coordination",Military exclusive. Spain participates in NATO UHF SATCOM pool.,True,
280.0,290.0,IT,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Italian military (Difesa) UHF tactical communications; NATO SATCOM downlinks; SICRAL military satellite system,"Leonardo DRS tactical radios, SICRAL satellite terminals (Telespazio), Selex ES vehicular systems","ECCM FM, HAVE QUICK, DAMA SATCOM",N/A (military),25,"PNRF (Piano Nazionale di Ripartizione delle Frequenze), MIMIT / Ministero della Difesa",Military exclusive. Italy operates SICRAL 1/1B/2 military SATCOM satellites with UHF payloads covering 225-400 MHz.,True,
280.0,290.0,CH,ITU Region 1 / CEPT,FIXED / MOBILE (Government/Military),Allocated,Swiss Armed Forces (Schweizer Armee) UHF tactical communications; limited NATO Partnership for Peace SATCOM access,"Thales PR4G (Swiss Army variant), various COTS UHF radios","FM, ECCM frequency hopping",N/A (military),25,"OFCOM Switzerland (BAKOM) Frequenzzuweisungsplan, SR 784.102.1",Military exclusive. Switzerland is not a NATO member but participates in PfP and has limited access to NATO UHF SATCOM.,True,
290.0,300.0,US,ITU Region 2 / USA,MILITARY FIXED / MOBILE / METEOROLOGICAL-SATELLITE,Allocated,"NATO UHF MILSATCOM (MUOS, UFO fleet broadcast); military LOS; meteorological aids (radiosondes) meteorological satellite data (secondary); MUOS wideband UHF at 300-320 MHz","Harris AN/PRC-117G, L3Harris AN/PRC-163, Lockheed Martin MUOS terminals, MUOS terminals","DAMA TDMA, CDMA (AEHF/MUOS wideband code-division), ECCM SINCGARS",N/A (military),25,"NTIA Manual, 47 CFR 2.106 footnote G27, US251","Federal Government exclusive. MUOS (Mobile User Objective System) uses wideband CDMA waveform in 300-320 MHz uplink paired with 360-380 MHz downlink. [FACTCHECK: AEHF operates at EHF (44 GHz UL / 20 GHz DL), not UHF. MUOS is the correct current UHF MILSATCOM system.] [FACTCHECK: GOES downlinks operate at 1694.5 MHz, not 290-300 MHz. This band is for met aids/military.]",True,
